CODIGO,NOMBRE,MONEDA
1,ACTIVO DISPONIBLE Y EXIGIBLE                      ,
10,CAJA Y BANCOS                                     ,
101,CAJA                                              ,
1011,CAJA                                              ,
101101,CAJA M.N.                                         ,MN
101102,CAJA M.E.                                         ,ME
101103,CAJA  VIATICOS                                    ,  
101104,CAJA VIATICOS DOLARES                             ,  
102,FONDOS FIJOS                                      ,
1021,FONDOS FIJOS                                      ,
102101,FONDOS FIJOS M.N.                                 ,MN
102102,FONDOS FIJOS M.E.                                 ,ME
103,EFECTIVO EN TRANSITO                              ,
104,CUENTAS CORRIENTES EN INSTITUCIONES FINANCIERAS   ,
1041,CUENTAS CORRIENTES OPERATIVAS                     ,
104101,BANCO DE CREDITO CTA CTE  192-1724976-0-98        ,MN
104102,BANCO DE CREDITO CTA CTE ME  192-1775050-1-07     ,  
104103,BANCO CONTINENTAL CTA CTE MN 0102-0100044433      ,  
104104,BANCO CONTINENTAL  CTA CTE ME 0102-0100044441     ,  
104105,INTERBANK CTE CTE MN 100-3000481638               ,  
104106,INTERBANK CTA CTE ME 089-3000579727               ,ME
104107,SCOTIABANK S/ 9391924                             ,  
104108,BANCO DE LA NACION DETRACCIONES                   ,  
104109,BANCO CONTINENTASOLES CTA 100030849               ,  
104110,SCOTIA DOLARES                                    ,  
104111,BANBIF CTA CTE 00700619112                        ,  
104112,BANBIF CTA CTE DOLARES                            ,  
1042,CUENTAS CORRIENTES PARA FINES ESPECIFICOS         ,
105,CERTIFICADOS BANCARIOS                            ,
1051,CERTIFICADOS BANCARIOS                            ,
105102,BANCO DE CREDITO M.E.                             ,ME
1052,OTROS                                             ,
106,DEPOSITOS EN INSTITUCIONES FINANCIERAS            ,
1061,DEPOSITOS DE AHORRO                               ,
1062,DEPOSITOS A PLAZO                                 ,
107,FONDOS SUJETOS A RESTRICCION                      ,
1071,FONDOS SUJETOS A RESTRICCION                      ,
107101,BCP  FONDOS  MUTUOS  SUJETO  A RESTRICCION        ,  
107102,FONDOS MUTUOS CONTINENTAL SOLES                   ,  
11,INVERSIONES AL VALOR RAZONABLE Y DISPONIBLES PARA ,
111,INVERSIONES AL VALOR RAZONABLE                    ,
1111,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO     ,
1112,VALORES EMITIDOS POR EL SISTEMA FINANCIERO        ,
1113,VALORES EMITIDOS POR EMPRESAS                     ,
1114,OTROS TITULOS REPRESENTATIVOS DE DEUDA            ,
1115,PARTICIPACIONES EN ENTIDADES                      ,
112,INVERSIONES DISPONIBLES PARA LA VENTA             ,
1121,VALORES EMITIDOS O GARANTIZADOS POR EL ESTADO     ,
1122,VALORES EMITIDOS POR EL SISTEMA FINANCIERO        ,
1123,VALORES EMITIDOS POR EMPRESAS                     ,
1124,OTROS TITULOS REPRESENTATIVOS DE DEUDA            ,
113,ACTIVOS FINANCIEROS - COMPROMISO DE COMPRA        ,
12,CUENTAS POR COBRAR COMERCIALES - TERCEROS         ,
121,FACTURAS  BOLETAS Y OTROS COMP.POR COBRAR TERCEROS,
1211,FACTURAR POR COBRAR NO EMITIDAS TERCEROS          ,
1212,FACTURAS POR COBRAR EMITIDAS EN CARTERA TERCEROS  ,
121201,FACTURAS POR COBRAR EMITIDAS CARTERA TERCEROS M.N.,MN
121202,FACTURAS POR COBRAR EMITIDAS CARTERA TERCEROS M.E.,ME
1213,FACTURAS POR COBRAR EN COBRANZA TERCEROS          ,
1214,FACTURAS POR COBRAR EN DESCUENTO TERCEROS         ,
122,ANTICIPOS DE CLIENTES TERCEROS                    ,
1221,ANTICIPOS DE CLIENTES TERCEROS                    ,
122101,ANTICIPOS DE CLIENTES TERCEROS M.N.               ,MN
122102,ANTICIPOS DE CLIENTES TERCEROS M.E.               ,ME
123,LETRAS POR COBRAR TERCEROS                        ,
1231,LETRAS POR COBRAR EN CARTERA TERCEROS             ,
123101,LETRAS POR COBRAR EN CARTERA TERCEROS M.N.        ,MN
123102,LETRAS POR COBRAR EN CARTERA TERCEROS M.E.        ,ME
1232,LETRAS POR COBRAR EN COBRANZA TERCEROS            ,
1233,LETRAS POR COBRAR EN DESCUENTO TERCEROS           ,
129,COBRANZA DUDOSA TERCEROS                          ,
1291,FACTURAS  BOLETAS Y OTROS COMP.POR COBRAR TERCEROS,
129101,FACTURAS EN COBRANZA DUDOSA TERCEROS M.N.         ,MN
129102,FACTURAS EN COBRANZA DUDOSA TERCEROS M.E.         ,ME
1293,LETRAS POR COBRAR EN COBRANZA DUDOSA              ,
13,CUENTAS POR COBRAR COMERCIALES - RELACIONADAS     ,
131,FACTURAS  BOLETAS Y OTROS COMP. POR COBRAR COM.REL,
1311,FACTURAR POR COBRAR NO EMITIDAS RELACIONADAS      ,
13111,FACTURAR POR COBRAR NO EMITIDAS MATRIZ RELACIONADA,
13112,FACTURAR POR COBRAR NO EMITIDAS SUBSIDIARIA RELACI,
13113,FACTURAR POR COBRAR NO EMITIDAS ASOCIADA RELACIONA,
13114,FACTURAR POR COBRAR NO EMITIDAS SUCURSAL RELACIONA,
1312,FACTURAS POR COBRAR EMITIDAS EN CARTERA RELACIONAD,
13121,FACTURAS POR COBRAR EMITIDAS EN CARTERA MATRIZ  RE,
131211,FACTURAS POR COBRAR EMITIDAS MATRIZ RELACIONADA MN,MN
131212,FACTURAS POR COBRAR EMITIDAS MATRIZ RELACIONADA ME,ME
13122,FACTURAS POR COBRAR EMITIDAS SUBSIDIARIA RELACIONA,
131221,FACTURAS POR COBRAR EMITIDAS SUBSIDIARIA RELAC. MN,MN
131222,FACTURAS POR COBRAR EMITIDAS SUBSIDIARIA RELAC. ME,ME
13123,FACTURAS POR COBRAR EMITIDAS ASOCIADA RELACIONADAS,
13124,FACTURAS POR COBRAR EMITIDAS SUCURSAL RELACIONADAS,
1313,FACTURAS POR COBRAR EN COBRANZA RELACIONADAS      ,
13131,FACTURAS POR COBRAR EN COBRANZA MATRIZ RELACIONADA,
13132,FACTURAS POR COBRAR EN COBRANZA SUBSIDIARIAS RELAC,
