code,name,nombre_elemento,elemento,debe,haber
10,CAJA Y BANCOS,Activo disponible y exigible,1,5003.2,413.0
12,CUENTAS POR COBRAR COMERCIALES - TERCEROS,Activo disponible y exigible,1,10667.2,5003.2
13,CUENTAS POR COBRAR COMERCIALES - RELACIONADAS,Activo disponible y exigible,1,0.0,0.0
14,CUENTAS POR COBRAR AL PERSONAL  A LOS ACCIONISTAS,Activo disponible y exigible,1,0.0,0.0
16,CUENTAS POR COBRAR DIVERSAS - TERCEROS,Activo disponible y exigible,1,0.0,0.0
17,CUENTAS POR COBRAR DIVERSAS - RELACIONADAS,Activo disponible y exigible,1,0.0,0.0
18,SERVICIOS Y OTROS CONTRATADOS POR ANTICIPADO,Activo disponible y exigible,1,0.0,0.0
19,ESTIMACION DE CUENTAS DE COBRANZA DUDOSA,Activo disponible y exigible,1,0.0,0.0
20,MERCADERIAS,Activo realizable,2,0.0,0.0
21,PRODUCTOS TERMINADOS,Activo realizable,2,0.0,0.0
22,SUBPRODUCTOS  DESECHOS Y DESPERDICIOS,Activo realizable,2,0.0,0.0
23,PRODUCTOS EN PROCESO,Activo realizable,2,0.0,0.0
24,MATERIAS PRIMAS,Activo realizable,2,0.0,0.0
25,MATERIALES AUXILIARES  SUMINISTROS Y REPUESTOS,Activo realizable,2,0.0,0.0
26,ENVASES Y EMBALAJES,Activo realizable,2,0.0,0.0
28,EXISTENCIAS POR RECIBIR,Activo realizable,2,0.0,0.0
29,DESVALORIZACION DE EXISTENCIAS,Activo realizable,2,0.0,0.0
32,ACTIVOS ADQUIRIDOS EN ARRENDAMIENTO FINANCIERO,Activo inmovilizado,3,0.0,0.0
33,INMUEBLES  MAQUINARIA Y EQUIPO,Activo inmovilizado,3,0.0,0.0
34,INTANGIBLES,Activo inmovilizado,3,0.0,0.0
37,ACTIVO DIFERIDO,Activo inmovilizado,3,0.0,0.0
39,DEPRECIACION  AMORTIZACION Y AGOTAMIENTO ACUMULADO,Activo inmovilizado,3,0.0,0.0
40,TRIBUTOS Y APORTES AL SISTEMA PENSIONES Y SALUD PO,Pasivo,4,175.5,936.0
41,REMUNERACIONES Y PARTICIPACIONES POR PAGAR,Pasivo,4,0.0,0.0
42,CUENTAS POR PAGAR COMERCIALES TERCEROS,Pasivo,4,413.0,1150.5
43,CUENTAS POR PAGAR COMERCIALES RELACIONADAS,Pasivo,4,0.0,0.0
44,CUENTAS POR PAGAR A LOS ACCIONISTAS  DIRECTORES Y,Pasivo,4,0.0,0.0
45,OBLIGACIONES FINANCIERAS,Pasivo,4,0.0,0.0
46,CUENTAS POR PAGAR DIVERSAS TERCEROS,Pasivo,4,0.0,0.0
47,CUENTAS POR PAGAR DIVERSAS RELACIONADAS,Pasivo,4,0.0,0.0
49,PASIVO DIFERIDO,Pasivo,4,0.0,0.0
50,CAPITAL,Patrimonio neto,5,0.0,0.0
52,CAPITAL ADICIONAL,Patrimonio neto,5,0.0,0.0
57,EXCEDENTE DE REVALUACION,Patrimonio neto,5,0.0,0.0
58,RESERVAS,Patrimonio neto,5,0.0,0.0
59,RESULTADOS ACUMULADOS,Patrimonio neto,5,0.0,0.0
60,COMPRAS,Gastos por naturaleza,6,975.0,0.0
61,VARIACION DE EXISTENCIAS,Gastos por naturaleza,6,0.0,0.0
62,GASTOS DE PERSONAL  DIRECTORES Y GERENTES,Gastos por naturaleza,6,0.0,0.0
63,GASTOS DE SERVICIOS PRESTADOS POR TERCEROS,Gastos por naturaleza,6,0.0,0.0
64,GASTOS POR TRIBUTOS,Gastos por naturaleza,6,0.0,0.0
65,OTROS GASTOS DE GESTION,Gastos por naturaleza,6,0.0,0.0
67,GASTOS FINANCIEROS,Gastos por naturaleza,6,0.0,0.0
68,VALUACION Y DETERIORO DE ACTIVOS Y PROVISIONES,Gastos por naturaleza,6,0.0,0.0
69,COSTO DE VENTAS,Gastos por naturaleza,6,0.0,0.0
70,VENTAS,Ingresos,7,0.0,9731.2
71,VARIACION DE LA PRODUCCION ALMACENADA,Ingresos,7,0.0,0.0
72,PRODUCCION DE ACTIVO INMOVILIZADO,Ingresos,7,0.0,0.0
